"filename", "language", "Makefile", "C++", "C", "nasm", "Markdown", "comment", "blank", "total"
"/home/blankheart0/PJDCc/AbstractSyntaxTree.cpp", "C++", 0, 2, 0, 0, 0, 0, 2, 4
"/home/blankheart0/PJDCc/Calculator.asm", "nasm", 0, 0, 0, 12, 0, 0, 1, 13
"/home/blankheart0/PJDCc/CodeGenerator.cpp", "C++", 0, 100, 0, 0, 0, 0, 38, 138
"/home/blankheart0/PJDCc/CodeGenerator.h", "C++", 0, 27, 0, 0, 0, 0, 11, 38
"/home/blankheart0/PJDCc/Interpreter.cpp", "C++", 0, 34, 0, 0, 0, 0, 8, 42
"/home/blankheart0/PJDCc/Interpreter.h", "C++", 0, 4, 0, 0, 0, 0, 1, 5
"/home/blankheart0/PJDCc/Makefile", "Makefile", 3, 0, 0, 0, 0, 0, 1, 4
"/home/blankheart0/PJDCc/PJDCc.cpp", "C++", 0, 4, 0, 0, 0, 1, 2, 7
"/home/blankheart0/PJDCc/Parser.cpp", "C++", 0, 5, 0, 0, 0, 0, 1, 6
"/home/blankheart0/PJDCc/README.md", "Markdown", 0, 0, 0, 0, 1, 0, 1, 2
"/home/blankheart0/PJDCc/Register.cpp", "C++", 0, 51, 0, 0, 0, 0, 13, 64
"/home/blankheart0/PJDCc/Register.h", "C++", 0, 22, 0, 0, 0, 0, 8, 30
"/home/blankheart0/PJDCc/test/CodeGen_Test.c", "C", 0, 0, 1, 0, 0, 0, 0, 1
"/home/blankheart0/PJDCc/test/Parser_Test.c", "C", 0, 0, 3, 0, 0, 0, 0, 3
"Total", "-", 3, 249, 4, 12, 1, 1, 87, 357
