"filename", "language", "C++", "C", "nasm", "Makefile", "comment", "blank", "total"
"/home/blankheart0/PJDCc/AbstractSyntaxTree.h", "C++", 2, 0, 0, 0, -4, 2, 0
"/home/blankheart0/PJDCc/Calculator.asm", "nasm", 0, 0, -4, 0, 0, -2, -6
"/home/blankheart0/PJDCc/CodeGenerator.cpp", "C++", 34, 0, 0, 0, 1, 1, 36
"/home/blankheart0/PJDCc/CodeGenerator.h", "C++", 3, 0, 0, 0, 0, 0, 3
"/home/blankheart0/PJDCc/Makefile", "Makefile", 0, 0, 0, 2, 0, 0, 2
"/home/blankheart0/PJDCc/PJDCc.cpp", "C++", 3, 0, 0, 0, 1, 3, 7
"/home/blankheart0/PJDCc/test/CodeGen_Test.c", "C", 0, -5, 0, 0, 0, 0, -5
"/home/blankheart0/PJDCc/test/CodeGen_Test/Calculator.asm", "nasm", 0, 0, 61, 0, 0, 4, 65
"/home/blankheart0/PJDCc/test/CodeGen_Test/Calculator.c", "C", 0, 5, 0, 0, 0, 0, 5
"/home/blankheart0/PJDCc/test/CodeGen_Test/Variable.asm", "nasm", 0, 0, 120, 0, 0, 4, 124
"/home/blankheart0/PJDCc/test/CodeGen_Test/Variable.c", "C", 0, 17, 0, 0, 0, 2, 19
"Total", "-", 42, 17, 177, 2, -2, 14, 250
