"filename", "language", "C++", "C", "nasm", "BNF", "Makefile", "Markdown", "comment", "blank", "total"
"/home/blankheart0/PJDCc/AbstractSyntaxTree.cpp", "C++", 19, 0, 0, 0, 0, 0, 0, 5, 24
"/home/blankheart0/PJDCc/AbstractSyntaxTree.h", "C++", 63, 0, 0, 0, 0, 0, 14, 37, 114
"/home/blankheart0/PJDCc/CodeGenerator.cpp", "C++", 215, 0, 0, 0, 0, 0, 1, 69, 285
"/home/blankheart0/PJDCc/CodeGenerator.h", "C++", 43, 0, 0, 0, 0, 0, 0, 16, 59
"/home/blankheart0/PJDCc/Interpreter.cpp", "C++", 81, 0, 0, 0, 0, 0, 0, 19, 100
"/home/blankheart0/PJDCc/Interpreter.h", "C++", 17, 0, 0, 0, 0, 0, 1, 7, 25
"/home/blankheart0/PJDCc/Makefile", "Makefile", 0, 0, 0, 0, 15, 0, 0, 5, 20
"/home/blankheart0/PJDCc/PJDC.ebnf", "BNF", 0, 0, 0, 11, 0, 0, 0, 6, 17
"/home/blankheart0/PJDCc/PJDCc.cpp", "C++", 64, 0, 0, 0, 0, 0, 12, 24, 100
"/home/blankheart0/PJDCc/Parser.cpp", "C++", 194, 0, 0, 0, 0, 0, 3, 76, 273
"/home/blankheart0/PJDCc/Parser.h", "C++", 31, 0, 0, 0, 0, 0, 0, 14, 45
"/home/blankheart0/PJDCc/Printf.asm", "nasm", 0, 0, 15, 0, 0, 0, 0, 5, 20
"/home/blankheart0/PJDCc/README.md", "Markdown", 0, 0, 0, 0, 0, 1, 0, 1, 2
"/home/blankheart0/PJDCc/Register.cpp", "C++", 51, 0, 0, 0, 0, 0, 0, 13, 64
"/home/blankheart0/PJDCc/Register.h", "C++", 22, 0, 0, 0, 0, 0, 0, 8, 30
"/home/blankheart0/PJDCc/Scanner.cpp", "C++", 99, 0, 0, 0, 0, 0, 5, 25, 129
"/home/blankheart0/PJDCc/Scanner.h", "C++", 25, 0, 0, 0, 0, 0, 0, 12, 37
"/home/blankheart0/PJDCc/SymbolTable.cpp", "C++", 13, 0, 0, 0, 0, 0, 0, 2, 15
"/home/blankheart0/PJDCc/SymbolTable.h", "C++", 11, 0, 0, 0, 0, 0, 0, 7, 18
"/home/blankheart0/PJDCc/Token.h", "C++", 42, 0, 0, 0, 0, 0, 10, 17, 69
"/home/blankheart0/PJDCc/test/CodeGen_Test/Calculator.asm", "nasm", 0, 0, 61, 0, 0, 0, 0, 4, 65
"/home/blankheart0/PJDCc/test/CodeGen_Test/Calculator.c", "C", 0, 5, 0, 0, 0, 0, 0, 0, 5
"/home/blankheart0/PJDCc/test/CodeGen_Test/Variable.asm", "nasm", 0, 0, 120, 0, 0, 0, 0, 4, 124
"/home/blankheart0/PJDCc/test/CodeGen_Test/Variable.c", "C", 0, 17, 0, 0, 0, 0, 0, 2, 19
"/home/blankheart0/PJDCc/test/Load_Test.c", "C", 0, 184, 0, 0, 0, 0, 6, 34, 224
"/home/blankheart0/PJDCc/test/Parser_Test.c", "C", 0, 5, 0, 0, 0, 0, 0, 4, 9
"/home/blankheart0/PJDCc/test/Scanner_Test.c", "C", 0, 4, 0, 0, 0, 0, 0, 3, 7
"Total", "-", 990, 215, 196, 11, 15, 1, 52, 419, 1899
