"filename", "language", "C++", "BNF", "C", "nasm", "comment", "blank", "total"
"/home/blankheart0/PJDCc/AbstractSyntaxTree.h", "C++", 18, 0, 0, 0, 0, 2, 20
"/home/blankheart0/PJDCc/CodeGenerator.cpp", "C++", 61, 0, 0, 0, 0, 18, 79
"/home/blankheart0/PJDCc/CodeGenerator.h", "C++", 8, 0, 0, 0, 0, 1, 9
"/home/blankheart0/PJDCc/PJDC.ebnf", "BNF", 0, 2, 0, 0, 0, 2, 4
"/home/blankheart0/PJDCc/PJDCc.cpp", "C++", -2, 0, 0, 0, 2, 1, 1
"/home/blankheart0/PJDCc/Parser.cpp", "C++", 34, 0, 0, 0, 0, 14, 48
"/home/blankheart0/PJDCc/Parser.h", "C++", 2, 0, 0, 0, 0, 0, 2
"/home/blankheart0/PJDCc/Register.cpp", "C++", 1, 0, 0, 0, 0, 0, 1
"/home/blankheart0/PJDCc/Scanner.cpp", "C++", 9, 0, 0, 0, 1, 3, 13
"/home/blankheart0/PJDCc/Token.h", "C++", 8, 0, 0, 0, 0, 0, 8
"/home/blankheart0/PJDCc/test/CodeGen_Test/Compare.asm", "nasm", 0, 0, 0, 127, 0, 4, 131
"/home/blankheart0/PJDCc/test/CodeGen_Test/Compare.c", "C", 0, 0, 10, 0, 0, 0, 10
"/home/blankheart0/PJDCc/test/Parser_Test.c", "C", 0, 0, 5, 0, 0, -4, 1
"/home/blankheart0/PJDCc/test/Scanner_Test.c", "C", 0, 0, 6, 0, 0, -3, 3
"Total", "-", 139, 2, 21, 127, 3, 38, 330
