"filename", "language", "Makefile", "C++", "BNF", "Markdown", "nasm", "C", "comment", "blank", "total"
"/home/blankheart0/PJDCc/AbstractSyntaxTree.cpp", "C++", 0, 19, 0, 0, 0, 0, 0, 5, 24
"/home/blankheart0/PJDCc/AbstractSyntaxTree.h", "C++", 0, 81, 0, 0, 0, 0, 14, 39, 134
"/home/blankheart0/PJDCc/CodeGenerator.cpp", "C++", 0, 276, 0, 0, 0, 0, 1, 87, 364
"/home/blankheart0/PJDCc/CodeGenerator.h", "C++", 0, 51, 0, 0, 0, 0, 0, 17, 68
"/home/blankheart0/PJDCc/Interpreter.cpp", "C++", 0, 81, 0, 0, 0, 0, 0, 19, 100
"/home/blankheart0/PJDCc/Interpreter.h", "C++", 0, 17, 0, 0, 0, 0, 1, 7, 25
"/home/blankheart0/PJDCc/Makefile", "Makefile", 15, 0, 0, 0, 0, 0, 0, 5, 20
"/home/blankheart0/PJDCc/PJDC.ebnf", "BNF", 0, 0, 13, 0, 0, 0, 0, 8, 21
"/home/blankheart0/PJDCc/PJDCc.cpp", "C++", 0, 62, 0, 0, 0, 0, 14, 25, 101
"/home/blankheart0/PJDCc/Parser.cpp", "C++", 0, 228, 0, 0, 0, 0, 3, 90, 321
"/home/blankheart0/PJDCc/Parser.h", "C++", 0, 33, 0, 0, 0, 0, 0, 14, 47
"/home/blankheart0/PJDCc/Printf.asm", "nasm", 0, 0, 0, 0, 15, 0, 0, 5, 20
"/home/blankheart0/PJDCc/README.md", "Markdown", 0, 0, 0, 1, 0, 0, 0, 1, 2
"/home/blankheart0/PJDCc/Register.cpp", "C++", 0, 52, 0, 0, 0, 0, 0, 13, 65
"/home/blankheart0/PJDCc/Register.h", "C++", 0, 22, 0, 0, 0, 0, 0, 8, 30
"/home/blankheart0/PJDCc/Scanner.cpp", "C++", 0, 108, 0, 0, 0, 0, 6, 28, 142
"/home/blankheart0/PJDCc/Scanner.h", "C++", 0, 25, 0, 0, 0, 0, 0, 12, 37
"/home/blankheart0/PJDCc/SymbolTable.cpp", "C++", 0, 13, 0, 0, 0, 0, 0, 2, 15
"/home/blankheart0/PJDCc/SymbolTable.h", "C++", 0, 11, 0, 0, 0, 0, 0, 7, 18
"/home/blankheart0/PJDCc/Token.h", "C++", 0, 50, 0, 0, 0, 0, 10, 17, 77
"/home/blankheart0/PJDCc/test/CodeGen_Test/Calculator.asm", "nasm", 0, 0, 0, 0, 61, 0, 0, 4, 65
"/home/blankheart0/PJDCc/test/CodeGen_Test/Calculator.c", "C", 0, 0, 0, 0, 0, 5, 0, 0, 5
"/home/blankheart0/PJDCc/test/CodeGen_Test/Compare.asm", "nasm", 0, 0, 0, 0, 127, 0, 0, 4, 131
"/home/blankheart0/PJDCc/test/CodeGen_Test/Compare.c", "C", 0, 0, 0, 0, 0, 10, 0, 0, 10
"/home/blankheart0/PJDCc/test/CodeGen_Test/Variable.asm", "nasm", 0, 0, 0, 0, 120, 0, 0, 4, 124
"/home/blankheart0/PJDCc/test/CodeGen_Test/Variable.c", "C", 0, 0, 0, 0, 0, 17, 0, 2, 19
"/home/blankheart0/PJDCc/test/Load_Test.c", "C", 0, 0, 0, 0, 0, 184, 6, 34, 224
"/home/blankheart0/PJDCc/test/Parser_Test.c", "C", 0, 0, 0, 0, 0, 10, 0, 0, 10
"/home/blankheart0/PJDCc/test/Scanner_Test.c", "C", 0, 0, 0, 0, 0, 10, 0, 0, 10
"Total", "-", 15, 1129, 13, 1, 323, 236, 55, 457, 2229
