"filename", "language", "TXT", "C++", "BNF", "C", "nasm", "comment", "blank", "total"
"/home/blankheart0/PJDCc/AbstractSyntaxTree.cpp", "C++", 0, 2, 0, 0, 0, 0, 5, 7
"/home/blankheart0/PJDCc/AbstractSyntaxTree.h", "C++", 0, -2, 0, 0, 0, 8, 12, 18
"/home/blankheart0/PJDCc/CodeGenerator.cpp", "C++", 0, 5, 0, 0, 0, 1, 4, 10
"/home/blankheart0/PJDCc/CodeGenerator.h", "C++", 0, 1, 0, 0, 0, 0, 1, 2
"/home/blankheart0/PJDCc/Note.txt", "TXT", 3, 0, 0, 0, 0, 0, 0, 3
"/home/blankheart0/PJDCc/PJDC.ebnf", "BNF", 0, 0, -1, 0, 0, 2, 7, 8
"/home/blankheart0/PJDCc/Parser.cpp", "C++", 0, -14, 0, 0, 0, 5, 7, -2
"/home/blankheart0/PJDCc/Parser.h", "C++", 0, -1, 0, 0, 0, 5, 10, 14
"/home/blankheart0/PJDCc/Register.cpp", "C++", 0, 0, 0, 0, 0, 2, 0, 2
"/home/blankheart0/PJDCc/Register.h", "C++", 0, 0, 0, 0, 0, 2, 0, 2
"/home/blankheart0/PJDCc/Scanner.cpp", "C++", 0, 0, 0, 0, 0, 1, 4, 5
"/home/blankheart0/PJDCc/Scanner.h", "C++", 0, 0, 0, 0, 0, 1, 3, 4
"/home/blankheart0/PJDCc/SymbolTable.h", "C++", 0, -10, 0, 0, 0, 0, -3, -13
"/home/blankheart0/PJDCc/Token.h", "C++", 0, 0, 0, 0, 0, 0, 1, 1
"/home/blankheart0/PJDCc/test/CodeGen_Test/Function.asm", "nasm", 0, 0, 0, 0, -8, 0, -1, -9
"/home/blankheart0/PJDCc/test/Frontend_Test.c", "C", 0, 0, 0, 13, 0, 0, 2, 15
"/home/blankheart0/PJDCc/test/Parser_Test.c", "C", 0, 0, 0, -12, 0, -19, -7, -38
"/home/blankheart0/PJDCc/test/Scanner_Test.c", "C", 0, 0, 0, -13, 0, 0, -2, -15
"Total", "-", 3, -19, -1, -12, -8, 8, 43, 14
