"filename", "language", "C", "C++", "BNF", "TXT", "nasm", "comment", "blank", "total"
"/home/blankheart0/PJDCc/AbstractSyntaxTree.cpp", "C++", 0, 2, 0, 0, 0, 0, 0, 2
"/home/blankheart0/PJDCc/AbstractSyntaxTree.h", "C++", 0, 4, 0, 0, 0, 0, 3, 7
"/home/blankheart0/PJDCc/CodeGenerator.cpp", "C++", 0, 13, 0, 0, 0, 0, 1, 14
"/home/blankheart0/PJDCc/CodeGenerator.h", "C++", 0, 4, 0, 0, 0, 0, 1, 5
"/home/blankheart0/PJDCc/Library/print.c", "C", 13, 0, 0, 0, 0, 0, 3, 16
"/home/blankheart0/PJDCc/Library/printint.c", "C", -5, 0, 0, 0, 0, 0, -1, -6
"/home/blankheart0/PJDCc/PJDC.ebnf", "BNF", 0, 0, -1, 0, 0, 0, -1, -2
"/home/blankheart0/PJDCc/PJDCc.cpp", "C++", 0, 0, 0, 0, 0, 1, 0, 1
"/home/blankheart0/PJDCc/Parser.cpp", "C++", 0, -12, 0, 0, 0, 0, -7, -19
"/home/blankheart0/PJDCc/Parser.h", "C++", 0, -1, 0, 0, 0, 0, -1, -2
"/home/blankheart0/PJDCc/Scanner.cpp", "C++", 0, 49, 0, 0, 0, 3, 18, 70
"/home/blankheart0/PJDCc/Scanner.h", "C++", 0, 5, 0, 0, 0, 0, 2, 7
"/home/blankheart0/PJDCc/Target.txt", "TXT", 0, 0, 0, 2, 0, 0, 2, 4
"/home/blankheart0/PJDCc/Token.h", "C++", 0, 13, 0, 0, 0, 0, 3, 16
"/home/blankheart0/PJDCc/test/CodeGen_Test/Array.asm", "nasm", 0, 0, 0, 0, 4, 0, 1, 5
"/home/blankheart0/PJDCc/test/CodeGen_Test/Array.c", "C", 1, 0, 0, 0, 0, 0, -1, 0
"/home/blankheart0/PJDCc/test/CodeGen_Test/Calculator.c", "C", -5, 0, 0, 0, 0, 0, 0, -5
"/home/blankheart0/PJDCc/test/CodeGen_Test/Compare.c", "C", -10, 0, 0, 0, 0, 0, 0, -10
"/home/blankheart0/PJDCc/test/CodeGen_Test/Function.asm", "nasm", 0, 0, 0, 0, 65, 0, 8, 73
"/home/blankheart0/PJDCc/test/CodeGen_Test/Pointer.asm", "nasm", 0, 0, 0, 0, 101, 0, 8, 109
"/home/blankheart0/PJDCc/test/CodeGen_Test/String.asm", "nasm", 0, 0, 0, 0, 61, 0, 6, 67
"/home/blankheart0/PJDCc/test/CodeGen_Test/String.c", "C", 7, 0, 0, 0, 0, 6, 6, 19
"/home/blankheart0/PJDCc/test/CodeGen_Test/Variable.c", "C", -17, 0, 0, 0, 0, 0, -2, -19
"/home/blankheart0/PJDCc/test/CodeGen_Test/While.c", "C", -12, 0, 0, 0, 0, -17, -5, -34
"/home/blankheart0/PJDCc/test/CodeGen_Test/test.c", "C", -3, 0, 0, 0, 0, 0, 1, -2
"/home/blankheart0/PJDCc/test/Frontend_Test.c", "C", -1, 0, 0, 0, 0, 0, 3, 2
"Total", "-", -32, 77, -1, 2, 231, -7, 48, 318
